Anime,1st recomm,2nd recomm,3rd recomm
Death Note,Psycho-Pass,Monster,Kokkoku
Death Parade,Re:Zero kara Hajimeru Isekai Seikatsu,Zankyou no Terror,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru
Deatte 5-byou de Battle,Taboo Tattoo,11eyes,K
Detective Conan,Pokemon XY,Digimon Adventure,Toriko
Devil May Cry,Kemono Jihen,Ushio to Tora (TV),Kami no Tou
Digimon Adventure,Pokemon XY,Kono Subarashii Sekai ni Shukufuku wo!,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Dimension W,Akudama Drive,Seikaisuru Kado,Divine Gate
Divine Gate,Clockwork Planet,Black Bullet,Cyberpunk: Edgerunners
Donten ni Warau,Durarara!!,Princess Principal,Kimetsu no Yaiba
Dr. Stone,Tengen Toppa Gurren Lagann,Pokemon XY,Digimon Adventure
Dragon Ball,One Piece,Black Cat (TV),Needless
DRAMAtical Murder,Darwin's Game,Shuumatsu no Walküre,K
Drifters,Gintama,Yasuke,Brave 10
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Pokemon XY,Digimon Adventure,Cike Wu Liuqi
Durarara!!,Summertime Render,Shiguang Dailiren,Enen no Shouboutai
Elfen Lied,Koutetsujou no Kabaneri,Kenpuu Denki Berserk,Gantz
Enen no Shouboutai,Shiguang Dailiren,Donten ni Warau,Gleipnir
Eyeshield 21,Keppeki Danshi! Aoyama-kun,SK∞,Major 2nd
Fairy Tail,Magi: The Kingdom of Magic,Toriko,Pokemon XY
Fate/stay night,InuYasha,Arcana Famiglia,Soul Eater
Fruits Basket 1st Season,Clannad,Shinigami Bocchan to Kuro Maid,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
Fullmetal Alchemist,Black Clover,Pokemon XY,Toriko
"Fuufu Ijou, Koibito Miman.",5-toubun no Hanayome,Gekkan Shoujo Nozaki-kun,5-toubun no Hanayome
Ga-Rei: Zero,C: The Money of Soul and Possibility Control,Shuumatsu no Walküre,Bungou Stray Dogs
Gakusen Toshi Asterisk,The God of High School,Angel Beats!,Hinamatsuri (TV)
Gangsta.,Tensei shitara Ken Deshita,BlazBlue: Alter Memory,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru"
Gantz,Koutetsujou no Kabaneri,Kenpuu Denki Berserk,Elfen Lied
Gekkan Shoujo Nozaki-kun,"Fuufu Ijou, Koibito Miman.",5-toubun no Hanayome,Rikei ga Koi ni Ochita no de Shoumei shitemita.
Giant Killing,Major 2nd,Yowamushi Pedal,Captain Tsubasa
Gintama,Rurouni Kenshin: Meiji Kenkaku Romantan,Yasuke,Trigun
Gleipnir,Shiguang Dailiren,Baccano!,Summertime Render
Goblin Slayer,Tensei shitara Ken Deshita,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",Yu☆Gi☆Oh! Duel Monsters
God Eater,Divine Gate,86,Black Bullet
Gokushufudou,"Ijiranaide, Nagatoro-san",Senpai ga Uzai Kouhai no Hanashi,Sakura-sou no Pet na Kanojo
Golden Kamuy,JoJo no Kimyou na Bouken Part 6: Stone Ocean,Jormungand,Goblin Slayer
Golgo 13 (TV),Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Tate no Yuusha no Nariagari,Akame ga Kill!
Great Teacher Onizuka,Aggressive Retsuko (ONA),Ranma ½,Kobayashi-san Chi no Maid Dragon
Gyakkyou Burai Kaiji: Hakairoku-hen,Zankyou no Terror,Re:Zero kara Hajimeru Isekai Seikatsu,Yuukoku no Moriarty
Hai to Gensou no Grimgar,Akame ga Kill!,Kami no Tou,Goblin Slayer
