Anime,Total
Chihayafuru,25.0
Nana,15.0
Nichijou,13.0
Koukaku Kidoutai: Stand Alone Complex,10.0
Yojouhan Shinwa Taikei,7.0
Uchuu Kyoudai,3.0
Sora yori mo Tooi Basho,2.0
Aria the Origination,0.0
Yuru Camp,0.0
