Anime,Total
Nichijou,21.333333333333332
Uchuu Kyoudai,24.666666666666668
Aria the Origination,15.0
Yuru Camp,20.666666666666668
Koukaku Kidoutai: Stand Alone Complex,23.333333333333332
Yojouhan Shinwa Taikei,25.0
Nana,20.0
Sora yori mo Tooi Basho,17.333333333333332
