Anime,1st recomm,2nd recomm,3rd recomm
Devil Survivor 2 The Animation,Durarara!!,Shiguang Dailiren,Donten ni Warau
Digimon Adventure,Toriko,Kono Subarashii Sekai ni Shukufuku wo!,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Dimension W,Bubble,Akudama Drive,Seikaisuru Kado
Divine Gate,Clockwork Planet,Black Bullet,World Trigger
Donten ni Warau,Devil Survivor 2 The Animation,Durarara!!,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders
Dr. Stone,Tengen Toppa Gurren Lagann,Saint Seiya,Black Cat (TV)
Dragon Ball,One Piece,Katekyo Hitman Reborn!,Hamatora The Animation
DRAMAtical Murder,Darker than Black: Kuro no Keiyakusha,Black Cat (TV),Needless
Drifters,Gintama,Yasuke,Brave 10
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Toriko,Pokemon (2019),Cike Wu Liuqi
Durarara!!,Summertime Render,Shiguang Dailiren,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders
Elfen Lied,Koutetsujou no Kabaneri,Kenpuu Denki Berserk,Mirai Nikki (TV)
Enen no Shouboutai,Durarara!!,Shiguang Dailiren,Donten ni Warau
Eyeshield 21,Keppeki Danshi! Aoyama-kun,SK8,Yowamushi Pedal
Fairy Tail,Pokemon (2019),Toriko,Digimon Adventure
Fate/stay night,InuYasha,Arcana Famiglia,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?
Fruits Basket 1st Season,Kokoro Connect,Shinigami Bocchan to Kuro Maid,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
Fullmetal Alchemist: Brotherhood,Hai to Gensou no Grimgar,Akame ga Kill!,Kami no Tou
"Fuufu Ijou, Koibito Miman.",Gekkan Shoujo Nozaki-kun,5-toubun no Hanayome,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken
Gakusen Toshi Asterisk,The God of High School,Angel Beats!,Musaigen no Phantom World
Gangsta.,Ao no Exorcist: Kyoto Fujouou-hen,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",Tensei shitara Ken Deshita
Gantz,Koutetsujou no Kabaneri,Kenpuu Denki Berserk,Elfen Lied
Ga-Rei: Zero,C: The Money of Soul and Possibility Control,Shuumatsu no Walkyrie,Bungou Stray Dogs
Gekkan Shoujo Nozaki-kun,Rikei ga Koi ni Ochita no de Shoumei shitemita.,"Kanojo, Okarishimasu",Itazura na Kiss
Giant Killing,Hajime no Ippo,Yowamushi Pedal,Captain Tsubasa
Gintama,Rurouni Kenshin: Meiji Kenkaku Romantan,Trigun,The God of High School
Gleipnir,Shiguang Dailiren,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Baccano!
Goblin Slayer,BlazBlue: Alter Memory,Ao no Exorcist: Kyoto Fujouou-hen,Tensei shitara Ken Deshita
God Eater,Divine Gate,86,Black Bullet
Golden Kamuy,ChainsawMan,Magi: The Labyrinth of Magic,Goblin Slayer
Golgo 13 (TV),Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Fullmetal Alchemist: Brotherhood,Hai to Gensou no Grimgar
Great Teacher Onizuka,Aggressive Retsuko (ONA),Aggressive Retsuko (ONA),Kobayashi-san Chi no Maid Dragon
Gyakkyou Burai Kaiji: Ultimate Survivor,Ranpo Kitan: Game of Laplace,Alice to Zouroku,Shouwa Genroku Rakugo Shinjuu
Hai to Gensou no Grimgar,Fullmetal Alchemist: Brotherhood,Tate no Yuusha no Nariagari,Kami no Tou
Haikyuu!!,Prince of Stride: Alternative,Shakunetsu Kabaddi,Iwa Kakeru!: Sport Climbing Girls
Hajime no Ippo,Major 2nd,Keppeki Danshi! Aoyama-kun,SK8
Hakata Tonkotsu Ramens,Phi Brain: Kami no Puzzle,Princess Principal,Gangsta.
Hamatora The Animation,Dragon Ball,Naruto,Bungou Stray Dogs
Hanebado!,Ao Ashi,Buzzer Beater,Captain Tsubasa
Harukana Receive,Uma Musume: Pretty Derby,Keijo!!!!!!!!,Beyblade Burst
Hataraku Maou-sama!,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,InuYasha,Mairimashita! Iruma-kun
Hellsing,Koutetsujou no Kabaneri,Highschool of the Dead,Deadman Wonderland
High School DxD,Gekkan Shoujo Nozaki-kun,Itazura na Kiss,Rikei ga Koi ni Ochita no de Shoumei shitemita.
Highschool of the Dead,Deadman Wonderland,Koutetsujou no Kabaneri,Kakurenbo
Higurashi no Naku Koro ni,Tokyo Ghoul,Yakusoku no Neverland,Monster
Hinamatsuri (TV),Musaigen no Phantom World,The God of High School,Clannad
Hinomaru Zumou,Kengan Ashura,Baki,Keijo!!!!!!!!
Horimiya,Ao Haru Ride,Nisekoi,Kanojo mo Kanojo
Hunter x Hunter (2011),One Piece,Katekyo Hitman Reborn!,Zettai Karen Children: The Unlimited - Hyoubu Kyousuke
Id:Invaded,Subete ga F ni Naru,Death Note,Steins;Gate
"Ijiranaide, Nagatoro-san",Senpai ga Uzai Kouhai no Hanashi,Toradora!,Sakura-sou no Pet na Kanojo
Inazuma Eleven,Captain Tsubasa,Katekyo Hitman Reborn!,Keijo!!!!!!!!
InuYasha,Soul Eater,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Shinigami Bocchan to Kuro Maid
Inuyashiki,Steins;Gate,Subete ga F ni Naru,Black Bullet
Itazura na Kiss,"Fuufu Ijou, Koibito Miman.",5-toubun no Hanayome,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken
Iwa Kakeru!: Sport Climbing Girls,Shakunetsu Kabaddi,Slam Dunk,Haikyuu!!
Jaku-Chara Tomozaki-kun,Shigatsu wa Kimi no Uso,Nisekoi,Kanojo mo Kanojo
