Anime,Total
Nichijou,15.0
Nana,13.0
Koukaku Kidoutai: Stand Alone Complex,10.0
Yojouhan Shinwa Taikei,6.0
Uchuu Kyoudai,3.0
Aria the Origination,1.0
Sora yori mo Tooi Basho,0.0
Yuru Camp,0.0
