Anime,1st recomm,2nd recomm,3rd recomm
Ao no Exorcist: Kyoto Fujouou-hen,Kimetsu no Yaiba: Yuukaku-hen,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,Konjiki no Gash Bell!!
Aoharu x Kikanjuu,Re:Zero kara Hajimeru Isekai Seikatsu,High School DxD,Gleipnir
Aoi Sekai no Chuushin de,Yu☆Gi☆Oh! VRAINS,Yu☆Gi☆Oh! 5D's,Yu☆Gi☆Oh! Arc-V
Arcana Famiglia,Romeo x Juliet,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",K
Ashita no Joe,Yu☆Gi☆Oh! Zexal,Nomad: Megalo Box 2,Baki
Ashita no Joe 2,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Ashita no Joe,Neon Genesis Evangelion: The End of Evangelion
Baccano!,Kono Subarashii Sekai ni Shukufuku wo!,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Kekkai Sensen & Beyond
Bakemonogatari,Owari no Seraph: Nagoya Kessen-hen,Nisemonogatari,Kill la Kill
Baki,Yu☆Gi☆Oh! Zexal,Ashita no Joe,Nomad: Megalo Box 2
Bakuman.,"Ijiranaide, Nagatoro-san",Bakuman. 2nd Season,Sono Bisque Doll wa Koi wo Suru
Bakuman. 2nd Season,Saenai Heroine no Sodatekata,Bakuman.,Bakuman. 3rd Season
Bakuman. 3rd Season,Neon Genesis Evangelion: Death & Rebirth,Gakusen Toshi Asterisk 2nd Season,Kokkoku
Ballroom e Youkoso,Charlotte,Blue Period,C: The Money of Soul and Possibility Control
Banana Fish,Buzzer Beater,Shakunetsu Kabaddi,Kuroko no Basket
Battle Spirits: Burning Soul,Kengan Ashura,Yu☆Gi☆Oh! VRAINS,Gantz 2nd Stage
Beastars,Death Note,Beastars 2nd Season,Evangelion: 3.0 You Can (Not) Redo
Beastars 2nd Season,Dragon Ball Z,Bungou Stray Dogs,Owari no Seraph
Beyblade Burst,Ga-Rei: Zero,Bleach: Sennen Kessen-hen,The God of High School
Bishoujo Senshi Sailor Moon,Kono Subarashii Sekai ni Shukufuku wo!,Aoharu x Kikanjuu,Goblin Slayer
Bishoujo Senshi Sailor Moon Eternal Movie 1,Kono Subarashii Sekai ni Shukufuku wo!,Bishoujo Senshi Sailor Moon Eternal Movie 2,No Game No Life: Zero
Bishoujo Senshi Sailor Moon Eternal Movie 2,11eyes,Kimetsu no Yaiba: Yuukaku-hen,Bishoujo Senshi Sailor Moon Eternal Movie 1
Black Bullet,Kiseijuu: Sei no Kakuritsu,God Eater,Owari no Seraph
Black Cat (TV),Yuukoku no Moriarty Part 2,Hellsing,Death Note
Black Clover,Rakudai Kishi no Cavalry,Clockwork Planet,Fate/stay night
Blade,Kizumonogatari III: Reiketsu-hen,Blood Lad,Nisemonogatari
BlazBlue: Alter Memory,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Devil Survivor 2 The Animation,Zombieland Saga
Bleach,No Game No Life: Zero,Fate/stay night,Kill la Kill
Bleach: Sennen Kessen-hen,Ajin Part 2,Konjiki no Gash Bell!!,K
Blood Lad,Kizumonogatari II: Nekketsu-hen,Naruto,Overlord II
Blue Lock,Inazuma Eleven Go,Inazuma Eleven,Inazuma Eleven Go: Chrono Stone
Blue Period,Tonari no Kaibutsu-kun,Horimiya,Mairimashita! Iruma-kun
Bocchi the Rock!,"Kanojo, Okarishimasu",Hibike! Euphonium,Kanojo mo Kanojo
Boku dake ga Inai Machi,Neon Genesis Evangelion: Death & Rebirth,Dragon Ball Z,Magic Kaito 1412
Boku ga Aishita Subete no Kimi e,5-toubun no Hanayome,Suki tte Ii na yo.,Tonari no Kaibutsu-kun
Boku no Hero Academia,One Punch Man,Mushoku Tensei: Isekai Ittara Honki Dasu,Dragon Ball GT
Bokutachi no Remake,Yojouhan Shinwa Taikei,5-toubun no Hanayome,Kokkoku
Boruto: Naruto the Movie,Major 2nd,JoJo no Kimyou na Bouken (TV),Shouwa Genroku Rakugo Shinjuu
Brave 10,Naruto: Shippuuden Movie 4 - The Lost Tower,Highschool of the Dead,Kono Subarashii Sekai ni Shukufuku wo!
Btooom!,Dragon Ball Z,Gintama°,Kono Subarashii Sekai ni Shukufuku wo!
Bubble,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Naruto,Neon Genesis Evangelion
Bungou Stray Dogs,Hotarubi no Mori e,Owari no Seraph,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare
Bungou Stray Dogs 2nd Season,Shokugeki no Souma,Yojouhan Shinwa Taikei,Buzzer Beater
Bus Gamer,Aggressive Retsuko (ONA) 3rd Season,Gyakkyou Burai Kaiji: Hakairoku-hen,Kokkoku
Busou Shoujo Machiavellianism,Noragami Aragoto,Yamada-kun to 7-nin no Majo: Mou Hitotsu no Suzaku-sai,Grisaia no Kajitsu
Buzzer Beater,Kuroko no Basket,Kuroko no Basket Movie 1: Winter Cup - Kage to Hikari,Yu☆Gi☆Oh! Zexal
C: The Money of Soul and Possibility Control,Tokyo Ghoul,Bokutachi no Remake,Makai Ouji: Devils and Realist
Cardcaptor Sakura,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Sen to Chihiro no Kamikakushi,Code:Breaker
Cardcaptor Sakura: Clear Card-hen,Cardcaptor Sakura,Yamada-kun to 7-nin no Majo: Mou Hitotsu no Suzaku-sai,Owarimonogatari 2nd Season
Chainsaw Man,Death Note,Trigun,Gokushufudou
Charlotte,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,Grisaia no Kajitsu,Digimon Adventure 02
Cike Wu Liuqi,Mushishi Zoku Shou,Mob Psycho 100,Ousama Ranking
Clannad,Suki tte Ii na yo.,Tokyo Ghoul,Wotaku ni Koi wa Muzukashii
Clannad: After Story,3-gatsu no Lion 2nd Season,Gakusen Toshi Asterisk 2nd Season,Kanojo mo Kanojo
Claymore,Goblin Slayer,Brave 10,Hellsing
Clockwork Planet,Fullmetal Alchemist: Brotherhood,Dragon Ball GT,Fate/stay night
Code Geass: Hangyaku no Lelouch,Tate no Yuusha no Nariagari,Evangelion: 1.0 You Are (Not) Alone,Cyberpunk: Edgerunners
Code Geass: Hangyaku no Lelouch R2,Makai Ouji: Devils and Realist,Fullmetal Alchemist: Brotherhood,Neon Genesis Evangelion: The End of Evangelion
Code:Breaker,Re:Zero kara Hajimeru Isekai Seikatsu,Darwin's Game,Kono Subarashii Sekai ni Shukufuku wo!
Cowboy Bebop,Evangelion: 2.0 You Can (Not) Advance,Kekkai Sensen,Terra Formars: Revenge
Cyberpunk: Edgerunners,Kono Subarashii Sekai ni Shukufuku wo!,Re:Zero kara Hajimeru Isekai Seikatsu,High School DxD
D.Gray-man,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Fate/Zero,Bleach
D.Gray-man Hallow,Overlord III,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,Shingeki no Kyojin: The Final Season
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,Highschool of the Dead,Gintama Movie 1: Shinyaku Benizakura-hen,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,Grisaia no Kajitsu,Mairimashita! Iruma-kun 3rd Season,Charlotte
Darker than Black: Kuro no Keiyakusha,Neon Genesis Evangelion,Hataraku Maou-sama!!,Gintama
Darker than Black: Ryuusei no Gemini,Gokushufudou Part 2,High School DxD,Nisemonogatari
Darwin's Game,Code:Breaker,Shijou Saikyou no Deshi Kenichi,Kizumonogatari I: Tekketsu-hen
Days (TV),Shakunetsu Kabaddi,Inazuma Eleven Go,Inazuma Eleven Go: Chrono Stone
Deadman Wonderland,Highschool of the Dead,Death Note,Baki
Death Billiards,Aoharu x Kikanjuu,Bus Gamer,Gyakkyou Burai Kaiji: Ultimate Survivor
Death Note,Gantz,Chainsaw Man,Makai Ouji: Devils and Realist
Death Parade,God Eater,Bleach,Death Note
Deatte 5-byou de Battle,Kobayashi-san Chi no Maid Dragon S,Kono Subarashii Sekai ni Shukufuku wo!,Iwa Kakeru! Sport Climbing Girls
Devil May Cry,Kuroshitsuji,Mairimashita! Iruma-kun,Mairimashita! Iruma-kun 2nd Season
Devil Survivor 2 The Animation,Yu☆Gi☆Oh! Zexal Second,Ajin Part 2,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri"
Digimon Adventure,Hotarubi no Mori e,Cardcaptor Sakura,Kakurenbo
Digimon Adventure 02,Tomodachi Game,Owarimonogatari 2nd Season,Kokoro Connect: Michi Random
Digimon Tamers,Kuroko no Basket Movie 4: Last Game,Battle Spirits: Burning Soul,Yu☆Gi☆Oh! Duel Monsters
Digimon Universe: Appli Monsters,Kiseijuu: Sei no Kakuritsu,Akudama Drive,Kekkai Sensen
Dimension W,Darker than Black: Kuro no Keiyakusha,Kekkai Sensen & Beyond,Kimetsu no Yaiba Movie: Mugen Ressha-hen
Divine Gate,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Black Clover,Digimon Adventure 02
Donten ni Warau,Fullmetal Alchemist: Brotherhood,Hanebado!,Dragon Ball Z
Dr. Stone,Dragon Ball Z,Noragami Aragoto,Mushoku Tensei: Isekai Ittara Honki Dasu
Dr. Stone: Stone Wars,Shingeki no Kyojin: The Final Season,Gantz 2nd Stage,Kuroko no Basket 3rd Season
Dragon Ball,Sono Bisque Doll wa Koi wo Suru,Cardcaptor Sakura,Kono Subarashii Sekai ni Shukufuku wo!
Dragon Ball GT,Hinamatsuri (TV),Gantz 2nd Stage,Clockwork Planet
Dragon Ball Super,The Last: Naruto the Movie,Overlord,Dragon Ball Z
Dragon Ball Z,Neon Genesis Evangelion: The End of Evangelion,Seirei Gensouki,Neon Genesis Evangelion: Death & Rebirth
Dragon Ball Z Movie 14: Kami to Kami,Neon Genesis Evangelion: The End of Evangelion,Shingeki no Kyojin Season 3,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2
"Dragon Ball Z Movie 15: Fukkatsu no ""F""",Shingeki no Kyojin Season 3 Part 2,Yu☆Gi☆Oh! Zexal Second,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou"
DRAMAtical Murder,Evangelion: 1.0 You Are (Not) Alone,Gokushufudou,Dragon Ball Z
Drifters,K: Return of Kings,Evangelion: 1.0 You Are (Not) Alone,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Baki,Saihate no Paladin,Magi: The Labyrinth of Magic
Durarara!!,Log Horizon,Buzzer Beater,Cyberpunk: Edgerunners
Elfen Lied,Gleipnir,JoJo no Kimyou na Bouken Part 6: Stone Ocean,Owari no Seraph
Enen no Shouboutai,Shingeki no Kyojin Season 2,Yu☆Gi☆Oh! VRAINS,Needless
Enen no Shouboutai: Ni no Shou,Naruto: Shippuuden,Mob Psycho 100 III,Seirei Gensouki
Evangelion: 1.0 You Are (Not) Alone,Hataraku Maou-sama!!,Neon Genesis Evangelion: The End of Evangelion,Neon Genesis Evangelion: Death & Rebirth
Evangelion: 2.0 You Can (Not) Advance,Shingeki no Kyojin Season 3,Bleach: Sennen Kessen-hen,Terra Formars: Revenge
Evangelion: 3.0 You Can (Not) Redo,Neon Genesis Evangelion: The End of Evangelion,Ansatsu Kyoushitsu,Beastars
Evangelion: 3.0+1.0 Thrice Upon a Time,K: Missing Kings,Neon Genesis Evangelion: Death & Rebirth,Needless
Eyeshield 21,Taboo Tattoo,Code:Breaker,Munou na Nana
Fairy Tail,Pokemon XY,Kuroshitsuji: Book of Circus,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu
Fairy Tail Movie 1: Houou no Miko,Claymore,Dragon Ball,Tensei shitara Ken deshita
Fairy Tail Movie 2: Dragon Cry,K: Return of Kings,Kimetsu no Yaiba Movie: Mugen Ressha-hen,High School DxD New
Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 1 - Wandering; Agateram,Mini Dragon,Ushio to Tora (TV) 2nd Season,Fate/Grand Order: Zettai Majuu Sensen Babylonia
Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram,Gintama: The Final,Kengan Ashura Part 2,Yowamushi Pedal: Grande Road
Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,Overlord III,Saihate no Paladin,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season
Fate/Grand Order: Zettai Majuu Sensen Babylonia,Bishoujo Senshi Sailor Moon Eternal Movie 1,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou"
Fate/Grand Order: Zettai Majuu Sensen Babylonia - Initium Iter,Psycho-Pass 2,Clannad: After Story,Bakuman. 2nd Season
Fate/stay night,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Highschool of the Dead,Ranpo Kitan: Game of Laplace
Fate/stay night: Unlimited Blade Works,K,Yu☆Gi☆Oh! Duel Monsters GX,Fate/stay night: Unlimited Blade Works 2nd Season
Fate/stay night: Unlimited Blade Works 2nd Season,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Fate/Zero 2nd Season,Tate no Yuusha no Nariagari Season 2
Fate/Zero,Kumichou Musume to Sewagakari,Kimetsu no Yaiba: Yuukaku-hen,Romeo x Juliet
Fate/Zero 2nd Season,Ansatsu Kyoushitsu 2nd Season,Fate/stay night: Unlimited Blade Works 2nd Season,K: Return of Kings
Fruits Basket,Fruits Basket 1st Season,Summertime Render,Kokkoku
Fruits Basket 1st Season,Suki tte Ii na yo.,Boku ga Aishita Subete no Kimi e,Summertime Render
Fruits Basket 2nd Season,Nisekoi:,Senpai ga Uzai Kouhai no Hanashi,Natsume Yuujinchou Movie: Utsusemi ni Musubu
Fruits Basket: The Final,Natsume Yuujinchou Go,Natsume Yuujinchou Roku,Natsume Yuujinchou Shi
Fullmetal Alchemist,Dragon Ball Z,Magic Kaito 1412,Neon Genesis Evangelion: Death & Rebirth
Fullmetal Alchemist: Brotherhood,Neon Genesis Evangelion: The End of Evangelion,Fullmetal Alchemist,91 Days
"Fuufu Ijou, Koibito Miman.","Kanojo, Okarishimasu",Kanojo mo Kanojo,Nana
Ga-Rei: Zero,Psycho-Pass,Nisemonogatari,Gokushufudou Part 2
Gakusen Toshi Asterisk,Dragon Ball Z,Haikyuu!! To the Top Part 2,Neon Genesis Evangelion: Death & Rebirth
Gakusen Toshi Asterisk 2nd Season,Clannad: After Story,Yu☆Gi☆Oh! Duel Monsters GX,Naruto: Shippuuden
Gangsta.,Gintama Movie 1: Shinyaku Benizakura-hen,Ajin Part 2,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze
Gantz,Shingeki no Kyojin: The Final Season Part 2,Koutetsujou no Kabaneri,K: Return of Kings
Gantz 2nd Stage,Terra Formars: Revenge,Evangelion: 2.0 You Can (Not) Advance,Dragon Ball GT
Gekkan Shoujo Nozaki-kun,Kuzu no Honkai,"Kanojo, Okarishimasu",Owarimonogatari 2nd Season
Giant Killing,Hanebado!,Kokkoku,Donten ni Warau
Gintama,Gintama°,Hataraku Maou-sama!!,Darker than Black: Kuro no Keiyakusha
Gintama Movie 1: Shinyaku Benizakura-hen,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,Shingeki no Kyojin Season 3,Gangsta.
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Naruto,The Last: Naruto the Movie,Donten ni Warau
Gintama',Neon Genesis Evangelion: Death & Rebirth,Kokkoku,Summertime Render
Gintama': Enchousen,K: Missing Kings,Magi: The Kingdom of Magic,Gokushufudou Part 2
Gintama.,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,Gintama Movie 1: Shinyaku Benizakura-hen,Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono
Gintama.: Porori-hen,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Natsume Yuujinchou,Tokyo Ghoul
Gintama.: Shirogane no Tamashii-hen,Ajin Part 2,Koutetsujou no Kabaneri,Hataraku Maou-sama!
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,Shingeki no Kyojin Season 3 Part 2,"Dragon Ball Z Movie 15: Fukkatsu no ""F""",Gintama.: Shirogane no Tamashii-hen
Gintama: The Final,Fate/Grand Order: Zettai Majuu Sensen Babylonia,K: Missing Kings,Evangelion: 3.0+1.0 Thrice Upon a Time
