Anime,1st recomm,2nd recomm,3rd recomm
Youjo Senki,Cike Wu Liuqi,Death Note,Ao no Exorcist: Kyoto Fujouou-hen
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Gekkan Shoujo Nozaki-kun,Toradora!,Kimi no Na wa.
Young Black Jack,Detective Conan,Sono Bisque Doll wa Koi wo Suru,Yuu Yuu Hakusho
Yowamushi Pedal,Deatte 5-byou de Battle,Pokemon (2019),Higurashi no Naku Koro ni
Yozakura Quartet: Hana no Uta,Saiyuuki Reload Blast,Kingdom,Mayoiga
Yu-Gi-Oh! Duel Monsters,Bleach,Bakuman.,Subete ga F ni Naru
Yuu Yuu Hakusho,Sen to Chihiro no Kamikakushi,Makai Ouji: Devils and Realist,Bakuman.
Yuukoku no Moriarty,Princess Principal,Kami no Tou,Gintama
Zankyou no Terror,Needless,Death Note,Lycoris Recoil
Zetsuen no Tempest,Kanojo mo Kanojo,High School DxD,Kokkoku
Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,One Piece,Boku dake ga Inai Machi,D.Gray-man
Zombieland Saga,Kono Subarashii Sekai ni Shukufuku wo!,Highschool of the Dead,Seirei Gensouki
Bubble,Neon Genesis Evangelion,Tate no Yuusha no Nariagari,Donten ni Warau
Hotarubi no Mori e,Makai Ouji: Devils and Realist,Major 2nd,Bakuman.
Howl no Ugoku Shiro,Saihate no Paladin,Jujutsu Kaisen,Elfen Lied
Kakurenbo,Tengen Toppa Gurren Lagann,Saihate no Paladin,Akudama Drive
Kimi no Na wa.,Gekkan Shoujo Nozaki-kun,"Fuufu Ijou, Koibito Miman.",High School DxD
Sen to Chihiro no Kamikakushi,Cardcaptor Sakura,High School DxD,Orange
Tenki no Ko,Slam Dunk,Giant Killing,Bubble
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,Fruits Basket 1st Season,Horimiya,Nana
Buddy Daddies,Hotarubi no Mori e,Cardcaptor Sakura,Great Teacher Onizuka
