Anime,1st recomm,2nd recomm,3rd recomm
Darwin's Game,Rainbow: Nisha Rokubou no Shichinin,Deadman Wonderland,Shijou Saikyou no Deshi Kenichi
Days (TV),Captain Tsubasa,Inazuma Eleven,Shakunetsu Kabaddi
Deadman Wonderland,Ranpo Kitan: Game of Laplace,Kono Subarashii Sekai ni Shukufuku wo!,Jujutsu Kaisen
Death Note,Highschool of the Dead,Blood Lad,Trigun
Death Parade,Fate/stay night,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Soul Eater
Deatte 5-byou de Battle,Gekkan Shoujo Nozaki-kun,Mahou Sensou,High School DxD
Detective Conan,Mob Psycho 100,Persona 4 the Animation,Id:Invaded
Devil May Cry,Black Clover,91 Days,Kill la Kill
Devil Survivor 2 The Animation,God Eater,Vivy: Fluorite Eye's Song,Highschool of the Dead
Digimon Adventure,Hotarubi no Mori e,Cardcaptor Sakura,Dragon Ball
Dimension W,Boku no Hero Academia,Mahouka Koukou no Rettousei,Saihate no Paladin
Divine Gate,Fairy Tail,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Saihate no Paladin
Donten ni Warau,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Highschool of the Dead,Zankyou no Terror
Dr. Stone,Rainbow: Nisha Rokubou no Shichinin,Charlotte,Makai Ouji: Devils and Realist
Dragon Ball,Hotarubi no Mori e,Nisekoi,Sen to Chihiro no Kamikakushi
DRAMAtical Murder,3-gatsu no Lion,Tate no Yuusha no Nariagari,Golden Kamuy
Drifters,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",God Eater,Gintama
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Dr. Stone,Bakuman.
Durarara!!,Tokyo Ghoul,Blood Lad,Gokushufudou
Elfen Lied,Ao no Exorcist: Kyoto Fujouou-hen,Shingeki no Kyojin,Gleipnir
Enen no Shouboutai,Munou na Nana,Shingeki no Kyojin,Kiseijuu: Sei no Kakuritsu
Eyeshield 21,Ao Ashi,Ballroom e Youkoso,"Komi-san wa, Comyushou desu."
Fairy Tail,Divine Gate,Howl no Ugoku Shiro,Rokka no Yuusha
Fate/stay night,Highschool of the Dead,Kill la Kill,Hellsing
Fruits Basket 1st Season,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,Zetsuen no Tempest,Kanojo mo Kanojo
Fullmetal Alchemist: Brotherhood,Ousama Ranking,Natsume Yuujinchou,Shinigami Bocchan to Kuro Maid
"Fuufu Ijou, Koibito Miman.",Kimi no Na wa.,Another,Nisekoi
Gakusen Toshi Asterisk,Romeo x Juliet,Vivy: Fluorite Eye's Song,World Trigger
