Anime,1st recomm,2nd recomm,3rd recomm
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,Zankyou no Terror,Tokyo Ghoul,Ajin
Darker than Black: Kuro no Keiyakusha,DRAMAtical Murder,Black Cat (TV),Needless
Darwin's Game,DRAMAtical Murder,Black Cat (TV),Needless
Days (TV),Re-Main,Prince of Stride: Alternative,Iwa Kakeru!: Sport Climbing Girls
Deadman Wonderland,Kiseijuu: Sei no Kakuritsu,Ajin,Koutetsujou no Kabaneri
Death Note,Psycho-Pass,Monster,Kokkoku
Death Parade,Zankyou no Terror,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Yuukoku no Moriarty
Deatte 5-byou de Battle,Taboo Tattoo,11eyes,K
Detective Conan,Sora yori mo Tooi Basho,Pokemon (2019),Digimon Adventure
Devil May Cry,Ushio to Tora (TV),Kami no Tou,Rokka no Yuusha
Devil Survivor 2 The Animation,Durarara!!,Shiguang Dailiren,Donten ni Warau
Digimon Adventure,Pokemon (2019),Kono Subarashii Sekai ni Shukufuku wo!,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Dimension W,Bubble,Akudama Drive,Seikaisuru Kado
Divine Gate,Clockwork Planet,Black Bullet,World Trigger
Donten ni Warau,Enen no Shouboutai,Durarara!!,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders
Dr. Stone,Trigun,Tengen Toppa Gurren Lagann,Saint Seiya
Dragon Ball,One Piece,Katekyo Hitman Reborn!,Hamatora The Animation
DRAMAtical Murder,Darker than Black: Kuro no Keiyakusha,Black Cat (TV),Needless
Drifters,Gintama,Yasuke,Brave 10
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Toriko,Pokemon (2019),Cike Wu Liuqi
Durarara!!,Summertime Render,Shiguang Dailiren,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders
Elfen Lied,Koutetsujou no Kabaneri,Kenpuu Denki Berserk,Mirai Nikki (TV)
Enen no Shouboutai,Durarara!!,Shiguang Dailiren,Donten ni Warau
Eyeshield 21,Keppeki Danshi! Aoyama-kun,SKâˆž,Major 2nd
Fairy Tail,Magi: The Kingdom of Magic,Toriko,Digimon Adventure
Fate/stay night,InuYasha,Arcana Famiglia,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?
Fruits Basket 1st Season,Kokoro Connect,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Shinigami Bocchan to Kuro Maid
Fullmetal Alchemist: Brotherhood,Hai to Gensou no Grimgar,Tate no Yuusha no Nariagari,Kami no Tou
"Fuufu Ijou, Koibito Miman.",5-toubun no Hanayome,"Kanojo, Okarishimasu",Itazura na Kiss
Gakusen Toshi Asterisk,The God of High School,Angel Beats!,Musaigen no Phantom World
Gangsta.,Tensei shitara Ken Deshita,BlazBlue: Alter Memory,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru"
Gantz,Koutetsujou no Kabaneri,Kenpuu Denki Berserk,Elfen Lied
Ga-Rei: Zero,C: The Money of Soul and Possibility Control,Shuumatsu no WalkÃ¼re,Bungou Stray Dogs
Gekkan Shoujo Nozaki-kun,"Kanojo, Okarishimasu",Itazura na Kiss,"Fuufu Ijou, Koibito Miman."
Giant Killing,Hajime no Ippo,Yowamushi Pedal,Captain Tsubasa
Gintama,Rurouni Kenshin: Meiji Kenkaku Romantan,Trigun,The God of High School
Gleipnir,Shiguang Dailiren,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Baccano!
Goblin Slayer,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",BlazBlue: Alter Memory,Tensei shitara Ken Deshita
God Eater,Divine Gate,86,Black Bullet
Golden Kamuy,Chainsaw Man,Magi: The Labyrinth of Magic,Goblin Slayer
Golgo 13 (TV),Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Akame ga Kill!,Tate no Yuusha no Nariagari
Great Teacher Onizuka,Aggressive Retsuko (ONA),Aggressive Retsuko (ONA),Ranma Â½
Gyakkyou Burai Kaiji: Ultimate Survivor,Ranpo Kitan: Game of Laplace,Alice to Zouroku,Shouwa Genroku Rakugo Shinjuu
Hai to Gensou no Grimgar,Akame ga Kill!,Tate no Yuusha no Nariagari,Kami no Tou
Haikyuu!!,Prince of Stride: Alternative,Iwa Kakeru!: Sport Climbing Girls,Shakunetsu Kabaddi
Hajime no Ippo,Yowamushi Pedal,Keppeki Danshi! Aoyama-kun,SKâˆž
Hakata Tonkotsu Ramens,Phi Brain: Kami no Puzzle,Princess Principal,Gangsta.
Hamatora The Animation,Dragon Ball,Naruto,Bungou Stray Dogs
